Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Eva,Åström,Nyvägen 371,Eskilstuna,84599,Sverige,SE,19950626-6866,46,08-878 257 74,1995-06-26,True
Johan,Hansson,Ekvägen 2,Trelleborg,51551,Sverige,SE,19530620-8588,46,08-42 92 45,1953-06-20,True
Sara,Bergman,Parkstigen 624,Helsingborg,95339,Sverige,SE,19501005-3825,46,08-280 84 46,1950-10-05,True
Hans,Petersson,Skolvägen 5,Kristianstad,89502,Sverige,SE,19730522-4128,46,08-447 90 59,1973-05-22,True
Marie,Eriksson,Villagränd 746,Östersund,88584,Sverige,SE,19940923-6798,46,091-645 31 04,1994-09-23,True
Marita,Karlsson,Industrivägen 7,Södertälje,45764,Sverige,SE,19810923-7612,46,+46 (0)889 710 77,1981-09-23,True
Svea,Persson,Ängsvägen 0,Borlänge,17230,Sverige,SE,19421229-9941,46,084-69 61 39,1942-12-29,True
Torsten,Andersson,Björkgatan 50,Halmstad,66674,Sverige,SE,19570420-6015,46,+46 (0)8 710 041 54,1957-04-20,True
Robert,Persson,Fabriksgatan 34,Luleå,77044,Sverige,SE,19690425-7712,46,+46 (0)47 05 06 66,1969-04-25,True
Hans,Nilsson,Åkergatan 40,Falun,31787,Sverige,SE,19410513-8393,46,019-57 11 92,1941-05-13,True
Frida,Magnusson,Kyrkvägen 05,Karlskoga,40022,Sverige,SE,19810429-3952,46,08-24 44 54,1981-04-29,True
Madeleine,Nygren,Backgatan 3,Östersund,33132,Sverige,SE,19560903-8779,46,0384-03 62 30,1956-09-03,True
Matilda,Olausson,Strandgatan 9,Falun,22194,Sverige,SE,19770208-5055,46,0024-85 85 82,1977-02-08,True
Fredrik,Norman,Kyrkvägen 12,Sandviken,26026,Sverige,SE,19800406-4078,46,+46 (0)8 479 729 75,1980-04-06,True
Sigurd,Gustavsson,Storvägen 220,Motala,11964,Sverige,SE,19930610-2351,46,039-524 00 57,1993-06-10,True
Roland,Mattsson,Trädgårdsgränd 0,Umeå,43610,Sverige,SE,19641202-2204,46,0807-85 18 14,1964-12-02,True
Gun,Håkansson,Skolgatan 840,Ängelholm,40687,Sverige,SE,19800724-3541,46,+46 (0)8 769 382 61,1980-07-24,True
Torsten,Bäckström,Ringtorget 616,Göteborg,66893,Sverige,SE,19941021-8181,46,0798-67 39 84,1994-10-21,True
Ingegerd,Nilsson,Parkvägen 358,Stockholm,54367,Sverige,SE,19991003-7909,46,08-715 431 95,1999-10-03,True
Peter,Pettersson,Parkgatan 50,Motala,55592,Sverige,SE,19890309-4258,46,08-37 90 90,1989-03-09,True
Svea,Blom,Parkgatan 805,Karlskrona,74699,Sverige,SE,19580919-1837,46,0880-978 73,1958-09-19,True
Ester,Eriksson,Kyrkgatan 745,Luleå,57652,Sverige,SE,19520420-3891,46,074-13 02 99,1952-04-20,True
Eva,Jonsson,Skolstigen 93,Varberg,72455,Sverige,SE,19841213-5422,46,+46 (0)57 58 88 68,1984-12-13,True
Marianne,Roos,Villagatan 71,Lidköping,10874,Sverige,SE,19981008-7003,46,08-833 967 50,1998-10-08,True
Kristina,Persson,Industrigatan 2,Skövde,49353,Sverige,SE,19900106-0289,46,028-85 67 76,1990-01-06,True
Elisabet,Andersson,Bäckvägen 66,Trollhättan,96487,Sverige,SE,19570728-3768,46,08-450 387 22,1957-07-28,True
Tobias,Larsson,Aspgatan 60,Borlänge,54579,Sverige,SE,19660630-1773,46,08-995 77 59,1966-06-30,True
Ann-Marie,Jönsson,Fabriksgränd 79,Södertälje,32843,Sverige,SE,19600412-1527,46,08-855 24 50,1960-04-12,True
Karl,Karlsson,Ekstigen 82,Lund,47535,Sverige,SE,19470109-0168,46,+46 (0)22 29 73 51,1947-01-09,True
Björn,Ekman,Grantorget 55,Linköping,78608,Sverige,SE,19441011-9388,46,088-285 65 92,1944-10-11,True
Olof,Larsson,Industrigatan 1,Karlskrona,64446,Sverige,SE,19750321-8937,46,086-002 93 33,1975-03-21,True
Adam,Johansson,Parkvägen 9,Norrköping,35091,Sverige,SE,19600304-8772,46,+46 (0)67 62 55 44,1960-03-04,True
Aukusti,Ihalainen,Puroniitynkatu 8,Paltamo,55025,Sverige,FI,19910712-282S,358,0423086401,1991-07-12,True
Maria,Lilja,Nystigen 88,Jönköping,19530,Sverige,SE,19461028-8039,46,+46 (0)54 10 80 97,1946-10-28,True
Oskar,Svärd,Kyrkgränd 335,Landskrona,30881,Sverige,SE,19510406-1516,46,08-648 163 27,1951-04-06,True
Ove,Svensson,Ängsvägen 71,Borås,96209,Sverige,SE,19660922-3112,46,08-064 090 08,1966-09-22,True
Katarina,Jönsson,Ängsstigen 6,Växjö,56606,Sverige,SE,19860101-4566,46,+46 (0)8 165 318 70,1986-01-01,True
Ann-Christin,Lundgren,Skogsstigen 72,Sandviken,47662,Sverige,SE,19550202-0457,46,+46 (0)429 814 80,1955-02-02,True
Peter,Andersson,Kyrkgatan 866,Lund,51848,Sverige,SE,19851229-5843,46,0811-02 74 07,1985-12-29,True
Gudrun,Olsson,Skolgatan 17,Stockholm,34273,Sverige,SE,19700421-7287,46,+46 (0)8 793 205 21,1970-04-21,True
Fredrik,Berggren,Ängsvägen 470,Piteå,48750,Sverige,SE,19541110-6847,46,08-77 13 37,1954-11-10,True
Marie,Svensson,Kvarnvägen 977,Linköping,30440,Sverige,SE,19440919-5807,46,0977-91 27 98,1944-09-19,True
Maria,Eriksson,Grantorget 36,Karlskoga,73043,Sverige,SE,19490914-7726,46,0246-387 60,1949-09-14,True
Anita,Karlsson,Idrottsgatan 8,Karlskrona,54050,Sverige,SE,19560906-9244,46,+46 (0)085 856 20,1956-09-06,True
Lars,Bengtsson,Kyrkogränd 62,Lidköping,30305,Sverige,SE,19801104-2779,46,08-61 29 19,1980-11-04,True
Elisabet,Eriksson,Kvarnvägen 20,Nyköping,88132,Sverige,SE,19560814-4943,46,08-529 12 16,1956-08-14,True
Ingegerd,Karlsson,Storstigen 52,Lidingö,50470,Sverige,SE,19860628-5795,46,+46 (0)03 37 53 47,1986-06-28,True
Henry,Eliasson,Parkvägen 8,Trelleborg,65437,Sverige,SE,19841214-1364,46,+46 (0)359 215 03,1984-12-14,True
Lars,Fransson,Kyrkostigen 69,Skellefteå,62133,Sverige,SE,19701109-1670,46,0312-953 97,1970-11-09,True
Jonas,Löfgren,Parkstigen 9,Skellefteå,27176,Sverige,SE,19840710-2759,46,041-26 12 98,1984-07-10,True
Sven,Andersson,Björkgatan 69,Stockholm,86304,Sverige,SE,19450119-7453,46,08-61 25 16,1945-01-19,True
Gert,Andersson,Trädgårdsvägen 497,Lidingö,42897,Sverige,SE,19440618-8865,46,+46 (0)68 02 08 98,1944-06-18,True
Maria,Carlsson,Nyvägen 3,Kristianstad,73119,Sverige,SE,19430301-1650,46,+46 (0)8 112 237 95,1943-03-01,True
Jonas,Nilsson,Genvägen 922,Alingsås,43986,Sverige,SE,19770821-4095,46,08-504 956 30,1977-08-21,True
Ingrid,Larsson,Furustigen 2,Västerås,99408,Sverige,SE,19990929-3721,46,+46 (0)8 790 086 39,1999-09-29,True
Monica,Lindholm,Skolgatan 074,Sundsvall,83625,Sverige,SE,19980914-9073,46,08-632 819 50,1998-09-14,True
Ruth,Johnsson,Villatorget 482,Sundsvall,70682,Sverige,SE,19400805-8683,46,08-416 240 59,1940-08-05,True
Kerstin,Andersson,Stationstorget 0,Karlstad,46197,Sverige,SE,19640415-6199,46,+46 (0)73 08 85 03,1964-04-15,True
Inger,Lindblom,Åkerstigen 80,Lund,40576,Sverige,SE,19640306-8704,46,0851-74 67 43,1964-03-06,True
Sven,Danielsson,Genstigen 0,Falun,94198,Sverige,SE,19640407-6028,46,0056-81 90 34,1964-04-07,True
Lisbeth,Eriksson,Parkstigen 849,Ängelholm,27304,Sverige,SE,19820815-5433,46,0469-26 93 98,1982-08-15,True
Arnold,Svensson,Kyrkovägen 85,Alingsås,92514,Sverige,SE,19540805-1574,46,08-05 69 54,1954-08-05,True
Inger,Fransson,Nygränd 1,Kalmar,63993,Sverige,SE,19531118-1645,46,+46 (0)854 392 15,1953-11-18,True
Roland,Jakobsson,Industrigatan 1,Lidingö,20172,Sverige,SE,19420902-8052,46,+46 (0)917 788 04,1942-09-02,True
Johan,Olofsson,Fabriksgatan 6,Karlstad,14095,Sverige,SE,19990202-2381,46,08-25 25 99,1999-02-02,True
Fredrik,Olsson,Ekgränd 66,Ängelholm,80499,Sverige,SE,19610203-7491,46,048-71 60 02,1961-02-03,True
Ingegerd,Andersson,Storvägen 12,Kalmar,28201,Sverige,SE,19770402-2306,46,08-359 560 46,1977-04-02,True
Hans,Gustafsson,Storvägen 592,Ängelholm,75540,Sverige,SE,19750128-7967,46,0659-71 53 83,1975-01-28,True
Sven,Svensson,Björkgatan 8,Umeå,47825,Sverige,SE,19501017-0967,46,0263-867 83,1950-10-17,True
Eva,Eriksson,Skolgränd 720,Lund,79626,Sverige,SE,19741021-8813,46,08-967 685 27,1974-10-21,True
Erik,Olsson,Skolvägen 57,Trelleborg,86150,Sverige,SE,19890724-4256,46,019-190 43 34,1989-07-24,True
Josefine,Forsberg,Villagatan 7,Karlstad,82700,Sverige,SE,19581028-0220,46,0418-180 60,1958-10-28,True
Leif,Persson,Ekvägen 3,Umeå,20902,Sverige,SE,19950628-8038,46,0586-23 65 72,1995-06-28,True
Dagmar,Fredriksson,Grangatan 948,Sandviken,98882,Sverige,SE,19560827-0959,46,0612-24 43 27,1956-08-27,True
Jenny,Friberg,Kyrkgatan 5,Sundsvall,20083,Sverige,SE,19470701-3398,46,008-092 30 43,1947-07-01,True
Karin,Höglund,Parkgatan 3,Linköping,79575,Sverige,SE,19970530-5884,46,+46 (0)46 43 92 82,1997-05-30,True
Anders,Karlsson,Skoltorget 86,Uddevalla,93745,Sverige,SE,19510607-3562,46,+46 (0)8 897 344 92,1951-06-07,True
Christina,Eriksson,Industrigatan 555,Varberg,58285,Sverige,SE,19800321-8255,46,08-080 065 78,1980-03-21,True
Karl,Eriksson,Ektorget 9,Varberg,48762,Sverige,SE,19771123-0519,46,08-09 39 20,1977-11-23,True
Britta,Nilsson,Järnvägsgatan 0,Piteå,99682,Sverige,SE,19640623-5387,46,0061-792 31,1964-06-23,True
Olof,Eklund,Idrottsstigen 89,Halmstad,83974,Sverige,SE,19520201-8807,46,042-391 71 39,1952-02-01,True
Henrik,Nilsson,Kyrkgränd 66,Kalmar,46415,Sverige,SE,19650831-5062,46,+46 (0)8 857 809 17,1965-08-31,True
Eva,Svensson,Kyrkogränd 1,Kalmar,69528,Sverige,SE,19710715-1395,46,+46 (0)8 586 671 12,1971-07-15,True
Josefina,Andersson,Industrigatan 44,Karlstad,72341,Sverige,SE,19971009-9709,46,0066-58 43 96,1997-10-09,True
